Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2015_exists,2016_exists,2017_exists,2018_exists,2019_exists,2020_exists,2021_exists,2022_exists,2023_exists,2024_exists,2025_exists,Number of changes,Frequent changer
Mirage Landings Homeowners Association,,,,,camco,camco,soleil association management,terra west management service,westward360,taylor association management,taylor association management,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,True
Miraleste @ Summerlin West Community Association,howard hughe,howard hughe,,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Miramonte @ Summerlin West Community Association,howard hughe,howard hughe,,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Miramonte Homeowners Association,hometown community management,hometown community management,hometown community management,hometown community management,hometown community management,opu 1 community management,opu 1 community management,the management trust,western nevada management,western nevada management,western nevada management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Mirasol Homeowners Association,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,taylor association management,taylor association management,taylor association management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Mission Del Rey Homeowners Association,thoroughbred management,thoroughbred management,performance cam,performance cam,performance cam,performance cam,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Mission Hills Estates Homeowners Association,,camco,camco,camco,camco,camco,,colonial property management,camco,camco,camco,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,4,True
Mission Hills Homeowners Association,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Mission Manor Homeowners Association,desert living,desert living,desert living,desert living,desert living,desert living,desert living,desert living,desert living,desert living,desert living,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Mission Pointe Homeowners Association,camco,american nevada,american nevada realty,american nevada realty,level property management,level property management,level property management,level property management,level property management,level property management,level property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Mission Ridge Homeowner Association,mesa management,mesa management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Moca Ranch Community Association,,,,,,,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Modena Homeowners Association,capital consultant management,capital consultant management,capital consultant management,capital consultant management,capital consultant management,associa,associa,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Mohave Ridge Homeowners' Association,,,,,,,,,,,colonial community management,,,,,,,,,1.0,1.0,1.0,1,False
Mojave Hills Management Inc,,,,,,,,,,capital consultant management,capital consultant management,,,,,,,,,,1.0,1.0,1,False
"Monaco Landscape Maintenance Association, Inc",firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Monarch Estates Homeowners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Monarch Manor Homeowners Association,,,thoroughbred management,thoroughbred management,thoroughbred management,camco,on the ball,on the ball,varalino community management,varalino community management,varalino community management,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Monarch Ridge Estates Homeowners' Association,prime community management,prime community management,prime community management,prime community management,prime community management,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1,False
Monarch Valley Homeowners Association,,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
"Montage Owners Association, The",firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2,True
Montagne Marron Community Association,associa,associa,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Montaire Community Association,community management group,community management group,,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Montalado Community Association,,,,,,,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
